itemID|brand|manufacturer|customerRating|category1|category2|category3|recommendedRetailPrice
1|0|1|4.38|1|1|1|8.84
2|0|2|3.0|1|2|1|16.92
3|0|3|5.0|1|3|1|15.89
4|0|2|4.44|1|2|1|40.17
5|0|2|2.33|1|1|1|17.04
6|0|2|4.2|1|2|1|20.9
7|0|3|4.0|1|3|1|26.4
8|0|4|5.0|1|1|1|14.13
9|0|5|5.0|1|1|1|165.06
10|0|4|5.0|1|1|1|19.43
11|0|2|4.88|1|2|1|9.22
12|0|2|5.0|1|3|1|10.15
13|0|4|3.33|1|1|1|20.24
14|0|2|0.0|1|4|1|13.07
15|0|6|0.0|1|5|1|552.5
16|0|6|4.83|1|5|1|96.38
17|0|7|5.0|1|1|1|13.79
18|0|8|0.0|1|1|1|12.51
19|0|9|3.0|1|1|1|63.5
20|0|6|5.0|1|5|1|566.03
21|0|10|5.0|1|3|1|14.5
22|0|10|3.0|1|5|1|36.16
23|0|5|5.0|1|4|1|25.65
24|0|8|3.71|1|1|1|9.31
25|0|11|5.0|1|1|1|27.38
26|0|8|5.0|1|1|1|23.62
27|0|8|2.6|1|1|1|5.44
28|0|2|0.0|1|1|1|47.36
29|0|12|4.6|1|6|1|29.19
30|0|5|3.75|1|3|1|131.58
31|0|1|5.0|1|1|1|18.87
32|0|1|4.6|1|1|1|26.49
33|0|4|3.33|1|1|1|24.08
34|0|4|5.0|1|1|1|40.08
35|0|5|5.0|1|1|1|173.86
36|1|13|0.0|1|5|1|1949.67
37|0|1|5.0|1|1|1|17.1
38|0|3|0.0|1|6|1|20.28
39|0|10|5.0|1|3|1|54.88
40|0|6|4.0|1|5|1|442.51
41|0|14|5.0|1|1|1|105.89
42|0|5|1.0|1|4|1|28.48
43|0|5|0.0|1|1|1|86.24
44|0|4|0.0|1|1|1|19.3
45|0|4|4.0|1|1|1|14.36
46|0|4|0.0|1|1|1|14.28
47|0|15|5.0|1|3|1|98.55
48|0|2|0.0|1|1|1|42.47
49|0|5|4.0|1|4|1|40.96
50|0|5|2.5|1|1|1|70.08
51|0|4|5.0|1|1|1|25.47
52|0|16|4.0|1|1|1|14.18
53|0|7|5.0|1|2|1|30.63
54|0|4|0.0|1|1|1|11.15
55|0|4|5.0|1|1|1|9.63
56|0|4|0.0|1|1|1|16.17
57|0|6|0.0|1|3|1|236.68
58|0|17|0.0|1|1|1|326.3
59|0|16|0.0|1|1|1|1419.0
60|0|14|0.0|1|1|1|76.55
61|0|4|0.0|1|1|1|10.15
62|0|4|5.0|1|1|1|18.18
63|0|9|5.0|1|1|1|49.71
64|0|2|0.0|1|1|1|23.54
65|0|2|0.0|1|1|1|11.49
66|0|10|5.0|1|5|1|48.82
67|0|7|5.0|1|1|1|28.92
68|0|2|3.0|1|1|1|20.96
69|0|2|0.0|1|1|1|19.52
70|0|5|0.0|1|1|1|1248.45
71|0|5|5.0|1|1|1|515.91
72|0|2|0.0|1|1|1|19.7
73|0|2|5.0|1|1|1|14.9
74|0|2|5.0|1|2|1|25.0
75|0|17|5.0|1|5|1|29.9
76|0|5|0.0|1|4|1|675.88
77|0|5|4.0|1|1|1|178.18
78|0|7|4.5|1|1|1|35.38
79|0|7|5.0|1|2|1|29.7
80|0|18|0.0|1|7|1|23.4
81|0|8|5.0|1|1|1|40.08
82|0|14|0.0|1|7|1|15.0
83|0|4|0.0|1|1|1|12.89
84|0|10|5.0|1|5|1|33.8
85|0|10|4.0|1|3|1|17.23
86|0|6|3.0|1|1|1|51.59
87|0|19|5.0|1|6|1|37.97
88|0|6|0.0|1|4|1|1351.9
89|0|6|5.0|1|5|1|362.1
90|0|2|0.0|1|1|1|51.07
91|0|7|0.0|1|2|1|24.84
92|0|7|5.0|1|5|1|15.19
93|0|5|0.0|1|1|1|97.17
94|0|5|0.0|1|4|1|200.11
95|0|4|0.0|1|1|1|23.62
96|0|4|5.0|1|1|1|19.15
97|0|4|5.0|1|1|1|34.04
98|0|12|0.0|1|1|1|26.22
99|0|16|0.0|1|1|1|796.1
100|0|4|0.0|1|1|1|23.62
101|0|3|3.0|1|7|1|17.82
102|0|3|5.0|1|7|1|26.45
103|0|3|0.0|1|1|1|30.69
104|0|7|0.0|1|2|1|22.29
